Major Name,Major Code,Total Credits Required,Credits for Major,Credits for General Education,Prescribed Courses,Additional Courses,Options,General Option Courses,Data Science Option Courses,General Education Requirements,Ecology Option Summary,General Biology Option Summary,Genetics & Dev Bio Option Summary,Neuroscience Option Summary,Plant Biology Option Summary,Vertebrate Physiology Option Summary,Accounting Option Summary,Business Analytics Option Summary,Entrepreneurship Option Summary,Financial Services Option Summary,Health Services Option Summary,Individualized Business Option Summary,Management and Marketing Option Summary,Supporting Courses or Skill Areas,Supporting Courses or Focus Area,Applied Data Sciences Option Summary,Computational Data Sciences Option Summary,Statistical Modeling Data Sciences Option Summary,Traditions of Innovation Option Summary,Writing and Literature in Context Option Summary,Supporting Courses and Related Areas,Special Requirements,Application Development Option Summary,Business Applications Option Summary,Cybersecurity Option Summary,Networking Option Summary,Security and Risk Analysis Option Summary,Specialized Technology Option Summary,General Science Option Summary,Biological Sciences & Health Professions Option Summary,"Legal Studies, Gov Service, Public Policy Option Summary",Life Science Option Summary,Mathematical Science Option Summary,Secondary Education Option Summary,Commercial Recreation and Tourism Management Option Summary,Community Recreation Management Option Summary,Outdoor Recreation Management Option Summary,Professional Golf Management Option Summary
"Computer Science, B.S. (Abington)",CMPAB_BS,120,88,45,"((CMPSC 131, CMPSC 132) or (CMPSC 121, CMPSC 122) ),CMPSC 312, CMPSC 430, CMPSC 460, CMPSC 462, CMPSC 463, CMPSC 469, CMPSC 472, CMPSC 487W, CMPSC 488, MATH 220, PHYS 211, CMPSC 330, CMPSC 360, ENGL 202C, MATH 140, MATH 141",STAT/MATH 318 or STAT/MATH 414,"General Option, Data Science Option","CMPSC 221, CMPSC 470, CMPSC 313, CMPSC 412, CMPSC 413, CMPSC 414, CMPSC 421, CMPSC 438, CMPSC 441, CMPSC 444, CMPSC 445, CMPSC 446, CMPSC/MATH 455, CMPSC 457, CMPSC 475, CMPSC 496, CMPSC 497, MATH 425, MATH 485","CMPSC 441, CMPSC 445, CMPSC 446, DS 220, STAT 401, STAT 462, CMPSC 313, CMPSC 412, CMPSC 413, CMPSC 414, CMPSC 421, CMPSC 438, CMPSC 444, CMPSC/MATH 455, CMPSC 457, CMPSC 470, CMPSC 475, CMPSC 496, CMPSC 497, MATH 401, MATH 410, MATH 411, MATH 412, MATH 425, MATH 430, MATH 435, MATH 448, MATH 465, MATH 468, MATH 485, MATH 496, MATH 497, STAT/MATH 415, STAT 463","Quantification (GQ): 6 credits, Writing and Speaking (GWS): 9 credits, Arts (GA): 3 credits, Health and Wellness (GHW): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 3 credits, Natural Sciences (GN): 3 credits, Inter-Domain Courses: 6 credits, Exploration: 9 credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accounting, B.S. (Abington)",ACCAB_BS,120,79,45,"BA 364Y, ECON 102, ECON 104, FIN 301, MGMT 301, MIS 390, MKTG 301, SCM 301, ACCTG 211, ACCTG 310, ACCTG 340, ACCTG 403, ACCTG 471, ACCTG 472, ACCTG 473, BA 462, ENGL 202D","BA 241 & BA 242 or BA 243, MIS 204 or MIS 250, MATH 110 or MATH 140, SCM 200 or STAT 200, 6 credits from upper-level ACCTG electives like ACCTG 410, 423, 431, etc.",,,,"Quantification (GQ): 6 credits, Writing and Speaking (GWS): 9 credits, Arts (GA): 3 credits, Health and Wellness (GHW): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 3 credits, Natural Sciences (GN): 3 credits, Inter-Domain Courses: 6 credits, Exploration: 9 credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Studies, B.A. (Abington)",AMSAB_BA,123,33,45,AMST 491W,AMST 100 or AMST 100Y,"Choose 2 areas with 9 credits each, and 1 area with 6 credits (12 credits must be at 400 level, in at least 2 areas)","American literature, American history, American art, philosophy, and religion (humanities), American social sciences",,"Quantification (GQ): 6 credits, Writing and Speaking (GWS): 9 credits, Arts (GA): 3 credits, Health and Wellness (GHW): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 3 credits, Natural Sciences (GN): 3 credits, Inter-Domain Courses: 6 credits, Exploration: 9 credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Art, B.A. (Abington)",ARTAB_BA,120,52,45,"ART 11, ART 110, ART 111, ART 122Y, ARTH 111, ARTH 112","Select 15 credits from: ART 211, ART 220, ART 223, ART 230, ART 240, ART 250, ART 260, ART 280, ART 296, ART 297, ART 299,, DART 202, DART 206, PHOTO 100, PHOTO 201, 6 credits in art history, 15 credits in one area of concentration: ceramics, drawing and painting, new media, photography, printmaking, sculpture",,,,"Quantification (GQ): 6 credits, Writing and Speaking (GWS): 9 credits, Arts (GA): 3 credits, Health and Wellness (GHW): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 3 credits, Natural Sciences (GN): 3 credits, Inter-Domain Courses: 6 credits, Exploration: 9 credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biology, B.S. (Abington)",BIOAB_BS,124,89–99,45,CHEM 111,"CHEM 113 or CHEM 113B, PHYS 211–214 or PHYS 250–251, BIOL 220W or 220M, BIOL 230W or 230M, BIOL 240W or 240M, CHEM 110 or 110H, CHEM 112 or 112H, BIOL 110, 110H, or 110S, MATH 140, 140B, or 140H, STAT 200, 240, or 250","Ecology Option, General Biology Option, Genetics and Developmental Biology Option, Neuroscience Option, Plant Biology Option, Vertebrate Physiology Option",See individual option columns,,"Quantification (GQ): 6 credits, Writing and Speaking (GWS): 9 credits, Arts (GA): 3 credits, Health and Wellness (GHW): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 3 credits, Natural Sciences (GN): 3 credits, Inter-Domain Courses: 6 credits, Exploration: 9 credits","15 credits of 400-level BIOL: 6 credits Ecology group, 3 Evolution, 3 Practicum + supporting stats and chem","18 credits 400-level BIOL: 3 from each of Plant/Fungi, Evolution, Genetics/Dev. Bio, Ecology, Physiology, Practicum","12 credits 400-level: 6 from Genetics & Dev Bio group, 3 Evolution, 3 Practicum","12 credits 400-level: 6 from Neuroscience group, 3 Evolution, 3 Practicum","12 credits 400-level: 6 from Plant/Fungi, 3 Evolution, 3 Practicum","12 credits 400-level: 6 from Physiology, 3 Evolution, 3 Practicum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Business, B.S. (Abington)",BSBAB_BS,120,82–85,45,"ECON 104, BA 321, BA 322, BA 420, BA 421, BA 422W, ECON 102, FIN 301, IB 303, MGMT 301, MIS 301, MKTG 301, SCM 301","ACCTG 211 or ACCTG 201 & 202, BA 241 & 242 or BA 243, BA 495A or BA 495B, ENGL 15 or ENGL 30H, MIS 204 or MIS 250, SCM 200 or STAT 200, MATH 21, 22, 26, 40, 41, 110, or 140","Accounting, Business Analytics, Entrepreneurship, Financial Services, Health Services, Individualized Business, Management and Marketing",See individual option columns,,"Quantification (GQ): 6 credits, Writing and Speaking (GWS): 9 credits, Arts (GA): 3 credits, Health and Wellness (GHW): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 3 credits, Natural Sciences (GN): 3 credits, Inter-Domain Courses: 6 credits, Exploration: 9 credits",,,,,,,"ACCTG 404, 405, 471, 472, plus 403 or 403W, and 3 credits of 400-level supporting course","MIS 345, MIS 431, plus 12 credits from a list of analytics/statistics/marketing/SODA courses","ENTR 300, 320, 400, CAS 352 or ENGL 419, and 6–9 credits of 400-level ENTR courses","ACCTG 405, FIN 420, plus 12 credits from ACCTG/FIN/FINSV/RM (at least 3 credits 400-level)","HPA 101, 332, plus up to 3 from electives list, 3–9 HPA 300/400-level, and 0–6 from business-related fields",Student designs a plan for 18 credits (min. 3 credits at 400-level) approved by program coordinator,"300/400-level: 3 MGMT, 3 MKTG, 6–12 MGMT or MKTG, optional 0–6 from approved electives",,,,,,,,,,,,,,,,,,,,,,,,,
"Corporate Communication, B.A. (Abington)",CCBA_BA,120,51–52,45,"CAS 204, CC 200, CC 401, CC 402, CC 490W, CC 495A, COMM 100, MGMT 301, MKTG 301","ECON 102 or ECON 104, BA 243 or PHIL 103, 106, 123, ART 201 or COMM 241 or IST 110, CAS 250, 252, 352 or ENGL 211, CC 406 or ENGL 420 or ENGL 480, Two of: CAS 403, 404, CAS/WMNST 455, CAS 471, MGMT 433, MKTG 310, One of: CC 404, CC 405, COMM 472",,,,"Quantification (GQ): 6 credits, Writing and Speaking (GWS): 9 credits, Arts (GA): 3 credits, Health and Wellness (GHW): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 3 credits, Natural Sciences (GN): 3 credits, Inter-Domain Courses: 6 credits, Exploration: 9 credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Criminal Justice, B.A. (Abington)",CJAAB_BA,120,48–49,45,"CRIMJ 100, CRIMJ 210, CRIMJ 220, CRIMJ 230, CRIMJ 290, CRIMJ 441, CRIMJ 450W, CRIMJ 495, SOC 12, SOC 119N, STAT 200","CRIMJ 250W or SOC 207, PHIL 103 or CRIMJ 465, 9 credits from 400-level CRIMJ courses not used elsewhere",,,,"Quantification (GQ): 6 credits, Writing and Speaking (GWS): 9 credits, Arts (GA): 3 credits, Health and Wellness (GHW): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 3 credits, Natural Sciences (GN): 3 credits, Inter-Domain Courses: 6 credits, Exploration: 9 credits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Criminal Justice, B.S. (Abington)",CJSAB_BS,120,60–61,45,"CRIMJ/CRIM 100, CRIMJ 210, CRIMJ 220, CRIMJ 230, CRIMJ 290, CRIMJ/CRIM 441, CRIMJ 450W, CRIMJ 495, SOC/CRIMJ/CRIM 12, SOC 119N, STAT 200","CRIMJ 250W or SOC 207, PHIL 103 or CRIMJ 465, 9 credits from 400-level CRIMJ courses not used elsewhere",,,,"Quantification (GQ): 6 credits, Writing and Speaking (GWS): 9 credits, Arts (GA): 3 credits, Health and Wellness (GHW): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 3 credits, Natural Sciences (GN): 3 credits, Inter-Domain Courses: 6 credits, Exploration: 9 credits",,,,,,,,,,,,,,"12 credits in areas like accounting, computers, counseling, law, public speaking, research methods, science, biobehavioral health, adolescence, deviance, drugs, minorities",,,,,,,,,,,,,,,,,,,,,,,,
"Cybersecurity Analytics and Operations, B.S. (Abington)",CAOAB_BS,123,87,45,"CYBER 262, CYBER 342W, CYBER 362, CYBER 366, CYBER 440, IST 210, IST 220, IST 230, IST 432, IST 451, IST 454, IST 456, IST 495, SRA 111, SRA 211, SRA 221, SRA 231, SRA 311, SRA 365","CYBER 100 or 100S, ENGL 202C or ENGL 202D, MATH 110 or MATH 140, STAT 200 or SCM 200, CMPSC 121 or CMPSC 131 or IST 140, CMPSC 122 or CMPSC 132 or IST 242, IST 256 or IST 261 or IST 361",,,,"Quantification (GQ): 6 credits, Writing and Speaking (GWS): 9 credits, Arts (GA): 3 credits, Health and Wellness (GHW): 3 credits, Humanities (GH): 3 credits, Social and Behavioral Sciences (GS): 3 credits, Natural Sciences (GN): 3 credits, Inter-Domain Courses: 6 credits, Exploration: 9 credits",,,,,,,,,,,,,,,9 credits from an Application Focus course list (at least 3 at 400-level or custom sequence with adviser approval),,,,,,,,,,,,,,,,,,,,,,,
